ERGO-Code/HiGHS | 78793f96a4588c57948e49fddb82c4169f604302 | 20fb52db768df931dc3739e9cc93271604d0b23c | []
fmtlib/fmt | 332da79bf37d06bb549810fd9420fd47407ebd89 | 7b273fbb541c7c9058800bc613f4291274b2d26e | []
fmtlib/fmt | 6fdf225a32625389c53e99e4d2b928df24a0b124 | 332da79bf37d06bb549810fd9420fd47407ebd89 | []
fmtlib/fmt | 80549a630ea387aaa0645e9188957d5372752856 | f17b9aa44ce299c6a8544809ef7f9506c82eea4c | []
fmtlib/fmt | 83652dfee78bad8ebc4fed0c86158a627271b7c7 | d249fd9f84910ebc23bc580fc436965893d32c3b | []
fmtlib/fmt | 8a06cee8262f0f5932254261233dd4d386d9f252 | 1db227496677bdddabc21cadaee63a1923bf3a3d | []
fmtlib/fmt | bdc45eef76c861642d0c326ce1c80169c5747ca5 | 439b6d7212d588bc4be890c17f50d4cbf19233a6 | []
fmtlib/fmt | c9102619da70319a4a298699ce0eeb3221cd2d5a | 58d792b6d3351c5261ec4cc525265ba8b1b9fd30 | []
jeremy-rifkin/cpptrace | bc0164224e4294fa68e42165de4d80b00ef04f6f | d18d6ee77d63562e99de4b509cee58ad060142de | []
kimci86/bkcrack | 7b4ea52d45d07b775e27b20bef0fe8d79443c27a | cc50681821f22cf1bbbb6d6c15c7543818fefe50 | []
kimwalisch/primecount | 249833bfd1ecbe578967a9a09b5c8860891bffef | 6c9a4cc2add6056ab3768d248d3e4abdcc64fd9d | []
kimwalisch/primecount | 2a5304239ccfa8c6acdf60dcbf12b85abecc2b18 | 21420cf4a260d1964857147979cf091134249d18 | []
kimwalisch/primecount | 5752c0bc4703535d885479c9de37964d994f41e6 | 34b9c89a158afd561586a80d53b75ee22f5710e6 | []
kimwalisch/primecount | 6c9b0052c1472c827b9a22317f7cf3074836e8cd | 46cb8af4e1a36dd77de879d319dfc8156eafffd0 | []
kimwalisch/primecount | c1e2a724ea2e559a59f9e5694bc1c280be42b1da | 252368097621aa119e6b9a2db307c45fd540edba | []
kimwalisch/primecount | cd0201008e85db06308814b3ef71d8ef16cb38fb | 4d7a470a5ab3e8289a066a11586c86af118aba51 | []
kimwalisch/primecount | f0e6ad416b366f84fee4425d0c462022cd724919 | 21f7b8aa6440a5e33f137dc6d775dd65b89beca0 | []
kimwalisch/primecount | f4f736d8bf16c6405a0e50cf1cc6bd06bf4f5cf1 | 0183a9f5bd039d8e1bbbfc06f2454b410dee5ae8 | []
libgeos/geos | 60e0ae2b8f5d1df0d95cfe95eba2ba4f1cbd816e | 629c2f6939f30a4b19682a87915fb2457a90db3c | []
libgeos/geos | d1bfd096694b7dd13030f5880805efc5c7c5a933 | dde8a32d28672996c978ee214847f980bf11174c | []
madmann91/bvh | 1c94c25af5bc014a65474bbf1df4f6d453c7bd7e | b55dd404dc1f20bc06154692d187b83f73a4f71c | []
madmann91/bvh | e5047b91482c3f6fc8ff89e5048750f360aa1bee | 43d4df571c7148f1c81d93262b27a62051ea3794 | []
microsoft/snmalloc | 4212ac8e4ed134f821ebe2906bdb46ba3142c943 | dbfb645732dcdb0806b3bda1f59a282ae127c360 | []
microsoft/snmalloc | 4620220080d2582c829954624c5a84175c05fd93 | 835ab5186325736ff5aa8ef53728970d1d74c3bc | []
microsoft/snmalloc | a3660c40690252e6bab884108f82e1ca822bc458 | db3580a9d8fac394afa3efd6cc55027f269cd9dc | []
microsoft/snmalloc | bf742cef84694c2fbbe1ffd96777eab59a618ef6 | 7c04a9dad660dc68e086a862c6f2af72a6607f63 | []
microsoft/snmalloc | c73846e41808fa73552f12331a02b6b146a960fa | c27dd10c398a9295de85454af68330bbc7097f29 | []
quick-lint/quick-lint-js | ed47d626a3ca6038a894dee99ee9610da121053c | c102dfcf6be5e888dd1494cea20a7c6bd9042887 | []
ridiculousfish/libdivide | 1978f27f712c4125c0d4dc3707f51fcf82fa1a93 | eee14df7eb7688050cb9f30eff8bf09b26b69222 | []
ridiculousfish/libdivide | 61ae9cb48e6f17526e78202c8dc319f6f1dd2302 | 858349bfc73d7669456edde96428df01ff6c615c | []
wisdompeak/LeetCode | fe1779dad26a694c4a3b5e22f9ed4bcf2593e5d3 | 96355ed9fc49d742c56ec29d4604b596b1d5ec7f | []
xtensor-stack/xsimd | 3b05fd63c808807ca300b9c9e6753bd29c4522bc | 67067ad8ed62e4e10f2adad32ca43a3d54f1ba56 | []
xtensor-stack/xsimd | bde4df7394ccc920aeafc6689aa2d28d8ab7e518 | 9f587fc20b82c9d95f2d7c15d532c908149666e9 | []
yhirose/cpp-peglib | b85606ce2e1ac327c0c814fdd20d67a20f4e3526 | 578eec705c3be307e08ef5738fef7e5b03f728ee | []
