original,patched
https://github.com/actor-framework/actor-framework/commit/474f993ba60944ec84a741d46aef83854c96a3db,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/actor-framework_actor-framework_474f993ba60944ec84a741d46aef83854c96a3db.patch
https://github.com/actor-framework/actor-framework/commit/6e6d2f809a98345eb900c36dc220b2cefad0c319,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/actor-framework_actor-framework_6e6d2f809a98345eb900c36dc220b2cefad0c319.patch
https://github.com/ccache/ccache/commit/04293ba23cd0d83ab9c9c0904c5ce6846e950022,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_04293ba23cd0d83ab9c9c0904c5ce6846e950022.patch
https://github.com/ccache/ccache/commit/0437820b47abe55e49f5fdb2ed189c4a1f23a611,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_0437820b47abe55e49f5fdb2ed189c4a1f23a611.patch
https://github.com/ccache/ccache/commit/0aac6ad5cd6db08d2481e1a2ea8c69a28b24424a,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_0aac6ad5cd6db08d2481e1a2ea8c69a28b24424a.patch
https://github.com/ccache/ccache/commit/1eb0aa5b9bcf74bd2ca6f161e406da64ccd349af,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_1eb0aa5b9bcf74bd2ca6f161e406da64ccd349af.patch
https://github.com/ccache/ccache/commit/445af8a6d7c1865e86d988839b261de54c4833b7,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_445af8a6d7c1865e86d988839b261de54c4833b7.patch
https://github.com/ccache/ccache/commit/4905b1afacb01bff907b89dd4b05dff66b31790b,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_4905b1afacb01bff907b89dd4b05dff66b31790b.patch
https://github.com/ccache/ccache/commit/5d94ee28ae08742cb1235cc9b43c297da516ad4d,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_5d94ee28ae08742cb1235cc9b43c297da516ad4d.patch
https://github.com/ccache/ccache/commit/69d511f8aeced5aed9a438256668e604006f8aa0,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_69d511f8aeced5aed9a438256668e604006f8aa0.patch
https://github.com/ccache/ccache/commit/7213a771410d289187d07f998054b8c900b4aba6,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_7213a771410d289187d07f998054b8c900b4aba6.patch
https://github.com/ccache/ccache/commit/83565e24e13f5f7f81bb8b6d93e980784dbc0b04,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_83565e24e13f5f7f81bb8b6d93e980784dbc0b04.patch
https://github.com/ccache/ccache/commit/971f1183568afd12af714936546c602940279c28,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_971f1183568afd12af714936546c602940279c28.patch
https://github.com/ccache/ccache/commit/a5cfc7f9012fcf0e3ef6e31f857a85715fad35cb,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_a5cfc7f9012fcf0e3ef6e31f857a85715fad35cb.patch
https://github.com/ccache/ccache/commit/b56be2e24431d4f652c16dbfffff2f966f2a8004,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_b56be2e24431d4f652c16dbfffff2f966f2a8004.patch
https://github.com/ccache/ccache/commit/b59f21d608e4f7d0a2d17965aa1f2f6fa7f643ff,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_b59f21d608e4f7d0a2d17965aa1f2f6fa7f643ff.patch
https://github.com/ccache/ccache/commit/c56b4a00ffa81cd720454312aa63959e578f3bb8,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_c56b4a00ffa81cd720454312aa63959e578f3bb8.patch
https://github.com/ccache/ccache/commit/d448fad859b8811050d8136bba905f73467cef49,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_d448fad859b8811050d8136bba905f73467cef49.patch
https://github.com/ccache/ccache/commit/fb6291627272237fd3c7f75c05efa8d7dc32069e,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ccache_ccache_fb6291627272237fd3c7f75c05efa8d7dc32069e.patch
https://github.com/crowcpp/crow/commit/ae8643a1b638d18f57b7cd90a3ef8653f4c7ba50,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/crowcpp_crow_ae8643a1b638d18f57b7cd90a3ef8653f4c7ba50.patch
https://github.com/descentdevelopers/descent3/commit/2db85ca6ecd46ff31035f59cd409477e81d4e0e7,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/descentdevelopers_descent3_2db85ca6ecd46ff31035f59cd409477e81d4e0e7.patch
https://github.com/ecnerwala/cp-book/commit/74f1888fd4f8dca7af4966ade9de24b127313f8d,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ecnerwala_cp-book_74f1888fd4f8dca7af4966ade9de24b127313f8d.patch
https://github.com/eliaskosunen/scnlib/commit/a2b5720ad339f9aeba370e87c3f46fa93cdc8bf4,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/eliaskosunen_scnlib_a2b5720ad339f9aeba370e87c3f46fa93cdc8bf4.patch
https://github.com/eliaskosunen/scnlib/commit/adf07a7cefe94c68549eda16a217e2c5296b2bc6,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/eliaskosunen_scnlib_adf07a7cefe94c68549eda16a217e2c5296b2bc6.patch
https://github.com/eliaskosunen/scnlib/commit/e2ac4e50d8f258c281300e5925fc300902f9588e,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/eliaskosunen_scnlib_e2ac4e50d8f258c281300e5925fc300902f9588e.patch
https://github.com/eliaskosunen/scnlib/commit/f26b24d29cf505453d97ee6205ea7faa59a9bea2,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/eliaskosunen_scnlib_f26b24d29cf505453d97ee6205ea7faa59a9bea2.patch
https://github.com/ergo-code/highs/commit/0a14fee3f6a2f0630e37b493794e85f7d6c81d48,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_0a14fee3f6a2f0630e37b493794e85f7d6c81d48.patch
https://github.com/ergo-code/highs/commit/10101ad997117b63a4c854c409f9d645324cfc0b,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_10101ad997117b63a4c854c409f9d645324cfc0b.patch
https://github.com/ergo-code/highs/commit/3559715f224dd2ddba257d1d1194f512367feca5,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_3559715f224dd2ddba257d1d1194f512367feca5.patch
https://github.com/ergo-code/highs/commit/3a782e7492ae57cabccd63ce926923e43a726043,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_3a782e7492ae57cabccd63ce926923e43a726043.patch
https://github.com/ergo-code/highs/commit/4a004bf6a7d593269f04a6d24039abe5cd0f9030,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_4a004bf6a7d593269f04a6d24039abe5cd0f9030.patch
https://github.com/ergo-code/highs/commit/50ede25128481330fce6f3bbbcebaede9374c9bb,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_50ede25128481330fce6f3bbbcebaede9374c9bb.patch
https://github.com/ergo-code/highs/commit/5addb609e0d3bce9fe6aebe86dff602e2f51b7c5,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_5addb609e0d3bce9fe6aebe86dff602e2f51b7c5.patch
https://github.com/ergo-code/highs/commit/711f1812f5fa300fbf60096bd1e5805fe5344060,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_711f1812f5fa300fbf60096bd1e5805fe5344060.patch
https://github.com/ergo-code/highs/commit/7a799cca6c8b907ec440dfcb0c1f855014d606ea,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_7a799cca6c8b907ec440dfcb0c1f855014d606ea.patch
https://github.com/ergo-code/highs/commit/86de3b948f1054b454e4e9dee29a123e1035ea85,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_86de3b948f1054b454e4e9dee29a123e1035ea85.patch
https://github.com/ergo-code/highs/commit/9e085b18d11a236aff211f8962d49f4f69ef825c,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_9e085b18d11a236aff211f8962d49f4f69ef825c.patch
https://github.com/ergo-code/highs/commit/a251c86c9cacf95810190e93e8051b297078d699,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_a251c86c9cacf95810190e93e8051b297078d699.patch
https://github.com/ergo-code/highs/commit/a2a3a4e898fdc7b96e67ccfaba43cd905e52e255,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_a2a3a4e898fdc7b96e67ccfaba43cd905e52e255.patch
https://github.com/ergo-code/highs/commit/ba3e28db61d8b470721f87bf1ce868852d75ed00,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_ba3e28db61d8b470721f87bf1ce868852d75ed00.patch
https://github.com/ergo-code/highs/commit/c1b85ec74d80b673b22d729122445e5eb08bdbe3,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_c1b85ec74d80b673b22d729122445e5eb08bdbe3.patch
https://github.com/ergo-code/highs/commit/dae914a669d6dbd3930f5fe1c6c3afa37149e8bb,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_dae914a669d6dbd3930f5fe1c6c3afa37149e8bb.patch
https://github.com/ergo-code/highs/commit/dc27d3497fc6f2719044c40d54c3eef4f7f9901c,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_dc27d3497fc6f2719044c40d54c3eef4f7f9901c.patch
https://github.com/ergo-code/highs/commit/e13ff62f5eb5b8b6713bff4bde5a22273f0c3496,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_e13ff62f5eb5b8b6713bff4bde5a22273f0c3496.patch
https://github.com/ergo-code/highs/commit/e2f0b52cd3036623617f1a3407c78970d0b7f49e,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_e2f0b52cd3036623617f1a3407c78970d0b7f49e.patch
https://github.com/ergo-code/highs/commit/e51eff2dc154cb7699b3542462771c831460573d,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_e51eff2dc154cb7699b3542462771c831460573d.patch
https://github.com/ergo-code/highs/commit/efb75a038695f16af1b4d9972e21375ec353f3a9,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_efb75a038695f16af1b4d9972e21375ec353f3a9.patch
https://github.com/ergo-code/highs/commit/fb1da5312c85047ede52539f0544bcd31d77fc97,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/ergo-code_highs_fb1da5312c85047ede52539f0544bcd31d77fc97.patch
https://github.com/fmtlib/fmt/commit/067bc479b4ac16df42e67b8842c5d852bf6292c3,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fmtlib_fmt_067bc479b4ac16df42e67b8842c5d852bf6292c3.patch
https://github.com/fmtlib/fmt/commit/4cce5f458d2e8a5ecbad0ffddc048eb56409b5e6,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fmtlib_fmt_4cce5f458d2e8a5ecbad0ffddc048eb56409b5e6.patch
https://github.com/fmtlib/fmt/commit/8a06cee8262f0f5932254261233dd4d386d9f252,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fmtlib_fmt_8a06cee8262f0f5932254261233dd4d386d9f252.patch
https://github.com/fmtlib/fmt/commit/93f03953af6b0268e1a29bb5b23d50f72b87a151,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fmtlib_fmt_93f03953af6b0268e1a29bb5b23d50f72b87a151.patch
https://github.com/fmtlib/fmt/commit/c9102619da70319a4a298699ce0eeb3221cd2d5a,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fmtlib_fmt_c9102619da70319a4a298699ce0eeb3221cd2d5a.patch
https://github.com/fmtlib/fmt/commit/db06b0df875856968c562d564b595a4e2861144e,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fmtlib_fmt_db06b0df875856968c562d564b595a4e2861144e.patch
https://github.com/foonathan/lexy/commit/23a4fd103417efd4552bd1e32b2a0326294a42be,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/foonathan_lexy_23a4fd103417efd4552bd1e32b2a0326294a42be.patch
https://github.com/fraillt/bitsery/commit/be2f2953108c623cb21ebea1aee7ed7964ff3fd9,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/fraillt_bitsery_be2f2953108c623cb21ebea1aee7ed7964ff3fd9.patch
https://github.com/gabime/spdlog/commit/2989e998ee21308c8a58b2edf207f679061a8f3f,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gabime_spdlog_2989e998ee21308c8a58b2edf207f679061a8f3f.patch
https://github.com/gabime/spdlog/commit/6d587f51811e2a68680707540d7b617a62da8bc9,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gabime_spdlog_6d587f51811e2a68680707540d7b617a62da8bc9.patch
https://github.com/gabime/spdlog/commit/6d8efa8d7f5083eba96fc39a24357c97fca744a6,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gabime_spdlog_6d8efa8d7f5083eba96fc39a24357c97fca744a6.patch
https://github.com/gabime/spdlog/commit/b4dcd592d85438f328c5b41f1a591a2cfb7cd182,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gabime_spdlog_b4dcd592d85438f328c5b41f1a591a2cfb7cd182.patch
https://github.com/gabime/spdlog/commit/bd5a81df7092c899b63c3f1bc3792a5f97113cc4,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gabime_spdlog_bd5a81df7092c899b63c3f1bc3792a5f97113cc4.patch
https://github.com/gabime/spdlog/commit/d3c1ad29a064d001da2435db56f159784ef54964,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gabime_spdlog_d3c1ad29a064d001da2435db56f159784ef54964.patch
https://github.com/gizmodata/gizmosql/commit/3be1613b27671e61ab73c41601025a0612919a45,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/gizmodata_gizmosql_3be1613b27671e61ab73c41601025a0612919a45.patch
https://github.com/google/highway/commit/0a7424871aac7838722604a7e68e6c8d65ab41f8,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_0a7424871aac7838722604a7e68e6c8d65ab41f8.patch
https://github.com/google/highway/commit/1b71e47818292cdd9406dca1048a237f79ca9f45,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_1b71e47818292cdd9406dca1048a237f79ca9f45.patch
https://github.com/google/highway/commit/1d239144f86895a8ad6495c41b19e23a07e326a7,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_1d239144f86895a8ad6495c41b19e23a07e326a7.patch
https://github.com/google/highway/commit/1d91d698ba14d6a6fb63eecc7e2ba446213c00bc,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_1d91d698ba14d6a6fb63eecc7e2ba446213c00bc.patch
https://github.com/google/highway/commit/1fe1df0583ace85231480f30e469add41c6cc2fc,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_1fe1df0583ace85231480f30e469add41c6cc2fc.patch
https://github.com/google/highway/commit/250c78a351a890460ac6deadef9e60963855c9c8,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_250c78a351a890460ac6deadef9e60963855c9c8.patch
https://github.com/google/highway/commit/2b0ea1d9e3c59d7fe5972ec9317a1030f203c282,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_2b0ea1d9e3c59d7fe5972ec9317a1030f203c282.patch
https://github.com/google/highway/commit/343dff07d47d6198ae46b0956287259f41c7e6d6,https://github.com/vizual1/opt-repo-cpp/tree/main/data/patch/google_highway_343dff07d47d6198ae46b0956287259f41c7e6d6.patch
